Time,CPU(%),RAM(%),GPU0_Util(%),GPU0_Mem(MB),GPU1_Util(%),GPU1_Mem(MB),GPU2_Util(%),GPU2_Mem(MB),GPU3_Util(%),GPU3_Mem(MB),GPU4_Util(%),GPU4_Mem(MB),GPU5_Util(%),GPU5_Mem(MB),GPU6_Util(%),GPU6_Mem(MB),GPU7_Util(%),GPU7_Mem(MB)
[2025-06-28 00:45:53],7.9,10.4,0,70023,0,70119,0,70119,0,70121,0,70119,0,70119,0,70119,0,69639
[2025-06-28 00:45:56],8.1,10.4,0,70023,0,70119,0,70119,0,70121,0,70119,0,70119,0,70119,0,69639
[2025-06-28 00:45:57],4.0,10.4,0,70023,0,70119,0,70119,0,70121,0,70119,0,70119,0,70119,0,69639
[2025-06-28 00:45:59],4.4,10.4,0,70023,0,70119,0,70119,0,70121,0,70119,0,70119,0,70119,0,69639
[2025-06-28 00:46:01],4.6,10.4,0,70023,0,70119,0,70119,0,70121,0,70119,0,70119,0,70119,0,69639
[2025-06-28 00:46:03],4.8,10.4,0,70023,0,70119,0,70119,0,70121,0,70119,0,70119,0,70119,0,69639
[2025-06-28 00:46:07],4.3,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:46:10],4.5,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:46:14],4.7,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:46:17],4.6,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:46:21],4.7,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:46:24],4.7,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:46:28],4.6,10.4,100,70023,100,70119,99,70119,100,70121,100,70119,100,70119,99,70119,99,69639
[2025-06-28 00:46:31],4.5,10.4,100,70023,100,70119,89,70119,100,70121,100,70119,100,70119,99,70119,100,69639
[2025-06-28 00:46:34],4.5,10.4,99,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:46:37],4.4,10.4,99,70023,100,70119,89,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:46:41],4.7,10.4,95,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:46:44],4.4,10.4,99,70023,99,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:46:47],4.5,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:46:49],5.3,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:46:52],5.0,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:46:56],4.6,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:46:58],4.5,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:47:01],4.7,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:47:04],4.7,10.4,99,70023,100,70119,99,70119,89,70121,96,70119,100,70119,99,70119,99,69639
[2025-06-28 00:47:08],4.8,10.4,27,70023,41,70119,7,70119,16,70121,27,70119,25,70119,11,70119,45,69639
[2025-06-28 00:47:11],4.7,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:47:15],5.0,10.4,100,70023,100,70119,100,70119,100,70121,99,70119,100,70119,100,70119,100,69639
[2025-06-28 00:47:18],4.6,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:47:21],4.7,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:47:25],7.3,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:47:28],5.0,10.4,100,70023,100,70119,100,70119,100,70121,99,70119,100,70119,100,70119,100,69639
[2025-06-28 00:47:31],4.7,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:47:35],4.9,10.4,99,70023,99,70119,100,70119,100,70121,100,70119,100,70119,94,70119,99,69639
[2025-06-28 00:47:38],5.2,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,99,70119,99,70119,100,69639
[2025-06-28 00:47:41],4.6,10.4,98,70023,100,70119,84,70119,100,70121,100,70119,99,70119,99,70119,100,69639
[2025-06-28 00:47:45],4.8,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:47:48],4.7,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:47:52],5.7,10.4,100,70023,99,70119,99,70119,100,70121,99,70119,99,70119,99,70119,98,69639
[2025-06-28 00:47:54],4.8,10.4,99,70023,100,70119,100,70119,100,70121,92,70119,99,70119,99,70119,100,69639
[2025-06-28 00:47:58],4.7,10.4,99,70023,99,70119,100,70119,100,70121,96,70119,100,70119,100,70119,100,69639
[2025-06-28 00:48:01],4.8,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,99,70119,99,70119,99,69639
[2025-06-28 00:48:04],4.9,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,99,70119,99,69639
[2025-06-28 00:48:06],4.8,10.5,100,70023,100,70119,94,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:48:09],4.6,10.5,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:48:13],4.6,10.4,100,70023,100,70119,100,70119,100,70121,100,70119,100,70119,100,70119,100,69639
[2025-06-28 00:48:16],4.5,10.4,0,70023,0,70119,0,70119,0,70121,0,70119,0,70119,0,70119,0,69639
[2025-06-28 00:48:19],4.1,10.4,0,70023,0,70119,0,70119,0,70121,0,70119,0,70119,0,70119,0,69639
[2025-06-28 00:48:21],8.0,10.4,0,70023,0,70119,0,70119,0,70121,0,70119,0,70119,0,70119,0,69639
[2025-06-28 00:48:23],3.9,10.4,0,70023,0,70119,0,70119,0,70121,0,70119,0,70119,0,70119,0,69639
