Time,CPU(%),RAM(%),GPU0_Util(%),GPU0_Mem(MB),GPU1_Util(%),GPU1_Mem(MB),GPU2_Util(%),GPU2_Mem(MB),GPU3_Util(%),GPU3_Mem(MB),GPU4_Util(%),GPU4_Mem(MB),GPU5_Util(%),GPU5_Mem(MB),GPU6_Util(%),GPU6_Mem(MB),GPU7_Util(%),GPU7_Mem(MB)
[2025-06-28 22:38:19],4.9,11.6,83,76796,77,72366,76,72366,79,72366,78,72366,78,72366,77,72366,77,71886
[2025-06-28 22:38:22],4.8,11.6,83,76796,78,72366,78,72366,79,72366,77,72366,79,72366,69,72366,77,71886
[2025-06-28 22:38:24],4.9,11.6,82,76796,78,72366,78,72366,79,72366,77,72366,79,72366,78,72366,77,71886
[2025-06-28 22:38:27],4.8,11.6,81,76796,77,72366,76,72366,77,72366,77,72366,78,72366,77,72366,76,71886
[2025-06-28 22:38:30],4.7,11.6,82,76796,77,72366,78,72366,78,72366,79,72366,80,72366,77,72366,79,71886
[2025-06-28 22:38:33],4.6,11.6,83,76796,77,72366,79,72366,79,72366,79,72366,78,72366,76,72366,79,71886
[2025-06-28 22:38:36],4.7,11.6,83,76796,76,72366,79,72366,78,72366,79,72366,77,72366,78,72366,79,71886
[2025-06-28 22:38:39],5.1,11.6,84,76796,74,72366,78,72366,78,72366,79,72366,79,72366,77,72366,78,71886
[2025-06-28 22:38:42],4.7,11.6,82,76796,80,72366,79,72366,79,72366,79,72366,78,72366,77,72366,79,71886
[2025-06-28 22:38:44],4.9,11.6,0,76796,0,72366,0,72366,0,72366,0,72366,0,72366,0,72366,11,71886
[2025-06-28 22:38:47],4.9,11.6,82,76796,76,72366,79,72366,77,72366,79,72366,77,72366,79,72366,76,71886
[2025-06-28 22:38:50],5.1,11.6,83,76796,76,72366,77,72366,78,72366,78,72366,77,72366,77,72366,78,71886
[2025-06-28 22:38:53],4.7,11.6,81,76796,77,72366,79,72366,76,72366,79,72366,77,72366,69,72366,77,71886
[2025-06-28 22:38:56],4.8,11.6,82,76796,78,72366,78,72366,78,72366,79,72366,77,72366,78,72366,79,71886
[2025-06-28 22:38:58],4.9,11.6,82,76796,77,72366,78,72366,78,72366,79,72366,79,72366,78,72366,77,71886
[2025-06-28 22:39:01],5.1,11.6,81,76796,78,72366,76,72366,79,72366,79,72366,78,72366,76,72366,79,71886
