Time,CPU(%),RAM(%),GPU0_Util(%),GPU0_Mem(MB),GPU1_Util(%),GPU1_Mem(MB),GPU2_Util(%),GPU2_Mem(MB),GPU3_Util(%),GPU3_Mem(MB),GPU4_Util(%),GPU4_Mem(MB),GPU5_Util(%),GPU5_Mem(MB),GPU6_Util(%),GPU6_Mem(MB),GPU7_Util(%),GPU7_Mem(MB)
[2025-06-29 23:44:22],8.2,10.1,0,73025,0,73121,0,73121,0,73121,0,73121,0,73121,0,73121,0,72641
[2025-06-29 23:44:24],3.5,10.1,0,73025,0,73121,0,73121,0,73121,0,73121,0,73121,0,73121,0,72641
[2025-06-29 23:44:25],3.5,10.1,0,73025,0,73121,0,73121,0,73121,0,73121,0,73121,0,73121,0,72641
[2025-06-29 23:44:26],3.6,10.1,0,73025,0,73121,0,73121,0,73121,0,73121,0,73121,0,73121,0,72641
[2025-06-29 23:44:28],3.5,10.1,0,73025,0,73121,0,73121,0,73121,0,73121,0,73121,0,73121,0,72641
[2025-06-29 23:44:30],4.7,10.1,0,73025,0,73121,0,73121,0,73121,0,73121,0,73121,0,73121,0,72641
[2025-06-29 23:44:32],3.8,10.1,0,73025,0,73121,0,73121,0,73121,0,73121,0,73121,0,73121,0,72641
[2025-06-29 23:44:33],3.8,10.1,0,73087,0,73183,0,73183,0,73183,0,73183,1,73183,0,73183,7,72703
[2025-06-29 23:44:35],5.0,10.1,100,73087,100,73183,100,73183,100,73183,100,73183,100,73183,100,73183,100,72703
[2025-06-29 23:44:37],3.9,10.1,100,73087,100,73183,100,73183,100,73183,100,73183,100,73183,100,73183,100,72703
[2025-06-29 23:44:38],4.0,10.1,100,73087,100,73183,100,73183,100,73183,100,73183,100,73183,100,73183,100,72703
[2025-06-29 23:44:40],2.5,10.1,71,73499,7,73595,3,73595,60,73595,38,73595,90,73595,43,73595,67,73115
[2025-06-29 23:44:41],4.1,10.1,100,73499,100,73595,100,73595,60,73595,76,73595,100,73595,100,73595,100,73115
[2025-06-29 23:44:44],4.1,10.1,100,73499,100,73595,100,73595,100,73595,100,73595,100,73595,100,73595,100,73115
[2025-06-29 23:44:45],4.0,10.1,100,73499,100,73595,100,73595,100,73595,100,73595,100,73595,100,73595,100,73115
[2025-06-29 23:44:46],4.8,10.1,100,73499,100,73595,100,73595,100,73595,100,73595,100,73595,100,73595,100,73115
[2025-06-29 23:44:48],4.3,10.1,100,73499,100,73595,100,73595,100,73595,100,73615,100,73615,100,73615,100,73135
[2025-06-29 23:44:50],4.3,10.1,100,73539,100,73635,100,73635,100,73635,100,73635,100,73635,100,73635,100,73155
[2025-06-29 23:44:52],4.2,10.2,100,73539,100,73635,100,73635,100,73635,100,73635,100,73635,100,73635,100,73155
[2025-06-29 23:44:54],4.3,10.1,100,73539,100,73635,100,73635,100,73635,100,73635,100,73635,100,73635,100,73155
[2025-06-29 23:44:56],4.4,10.1,100,73541,100,73637,100,73637,100,73637,100,73637,100,73637,100,73637,100,73157
[2025-06-29 23:44:57],4.4,10.2,100,73541,100,73637,100,73637,100,73637,100,73637,100,73637,100,73637,100,73157
[2025-06-29 23:44:59],4.8,10.2,100,73541,100,73637,100,73637,100,73637,100,73637,100,73637,100,73637,100,73157
[2025-06-29 23:45:00],4.8,10.2,100,73541,100,73637,100,73637,100,73637,100,73637,100,73637,100,73637,100,73157
[2025-06-29 23:45:03],4.6,10.1,100,73561,91,73657,91,73657,100,73657,100,73657,100,73657,100,73657,100,73177
[2025-06-29 23:45:04],4.4,10.1,92,73581,89,73677,100,73677,90,73677,89,73677,89,73677,89,73677,89,73197
[2025-06-29 23:45:06],4.2,10.1,100,73581,100,73677,100,73677,100,73677,100,73677,100,73677,100,73677,100,73197
[2025-06-29 23:45:08],4.4,10.1,100,73581,100,73677,100,73677,100,73677,100,73677,100,73677,100,73677,100,73197
[2025-06-29 23:45:10],4.5,10.1,100,73621,100,73717,100,73717,100,73717,100,73717,100,73717,100,73717,100,73237
[2025-06-29 23:45:11],4.6,10.1,100,73641,100,73737,100,73737,100,73737,100,73737,100,73737,100,73737,100,73257
[2025-06-29 23:45:13],4.4,10.1,100,73641,100,73737,100,73737,100,73737,82,73737,100,73737,100,73737,100,73257
[2025-06-29 23:45:15],4.4,10.1,99,73641,100,73737,100,73737,99,73737,100,73737,99,73737,100,73737,99,73257
[2025-06-29 23:45:17],4.4,10.1,100,73641,100,73737,100,73737,100,73737,100,73737,100,73737,100,73737,100,73257
[2025-06-29 23:45:19],4.6,10.1,100,73641,100,73737,100,73737,100,73737,100,73737,100,73737,100,73737,100,73257
[2025-06-29 23:45:20],4.7,10.1,100,73641,100,73737,100,73737,100,73737,100,73737,100,73737,100,73737,100,73257
[2025-06-29 23:45:22],4.6,10.1,100,73641,100,73737,100,73737,100,73737,100,73737,100,73737,100,73737,100,73257
[2025-06-29 23:45:24],4.9,10.1,100,73641,100,73737,100,73737,100,73737,100,73737,100,73737,100,73737,100,73257
