Time,CPU(%),RAM(%),GPU0_Util(%),GPU0_Mem(MB),GPU1_Util(%),GPU1_Mem(MB),GPU2_Util(%),GPU2_Mem(MB),GPU3_Util(%),GPU3_Mem(MB),GPU4_Util(%),GPU4_Mem(MB),GPU5_Util(%),GPU5_Mem(MB),GPU6_Util(%),GPU6_Mem(MB),GPU7_Util(%),GPU7_Mem(MB)
[2025-06-29 09:06:48],8.2,10.0,0,74688,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624
[2025-06-29 09:06:50],4.3,10.0,0,74688,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624
[2025-06-29 09:06:51],8.2,10.0,0,74688,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624
[2025-06-29 09:06:52],4.4,10.0,0,74688,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624
[2025-06-29 09:06:54],4.3,10.0,0,74688,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624
[2025-06-29 09:06:55],4.4,10.0,0,74688,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624
[2025-06-29 09:06:56],4.8,10.0,0,74688,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624
[2025-06-29 09:06:57],4.4,10.0,0,74688,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624
[2025-06-29 09:06:58],4.2,10.0,0,74688,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624,0,74624
[2025-06-29 09:07:00],4.4,10.0,91,74688,91,74624,90,74624,90,74624,90,74624,90,74624,89,74624,90,74624
[2025-06-29 09:07:01],4.5,10.0,91,74688,90,74624,90,74624,90,74624,91,74624,90,74624,90,74624,90,74624
[2025-06-29 09:07:03],4.6,10.0,91,74688,91,74624,91,74624,90,74624,91,74624,90,74624,90,74624,91,74624
[2025-06-29 09:07:04],4.4,10.0,90,74688,91,74624,91,74624,90,74624,90,74624,89,74624,90,74624,90,74624
[2025-06-29 09:07:05],4.4,10.0,90,74688,90,74624,91,74624,90,74624,90,74624,90,74624,90,74624,91,74624
[2025-06-29 09:07:07],4.6,10.0,91,74688,90,74624,90,74624,91,74624,91,74624,90,74624,90,74624,90,74624
[2025-06-29 09:07:08],4.8,10.0,85,74688,85,74624,85,74624,84,74624,84,74624,85,74624,90,74624,85,74624
[2025-06-29 09:07:09],4.7,10.0,90,74688,91,74624,91,74624,91,74624,91,74624,90,74624,90,74624,90,74624
[2025-06-29 09:07:11],4.7,10.0,91,74688,90,74624,90,74624,90,74624,91,74624,90,74624,90,74624,91,74624
[2025-06-29 09:07:13],4.9,10.0,91,74688,91,74624,91,74624,90,74624,91,74624,91,74624,90,74624,91,74624
