Time,CPU(%),RAM(%),GPU0_Util(%),GPU0_Mem(MB),GPU1_Util(%),GPU1_Mem(MB),GPU2_Util(%),GPU2_Mem(MB),GPU3_Util(%),GPU3_Mem(MB),GPU4_Util(%),GPU4_Mem(MB),GPU5_Util(%),GPU5_Mem(MB),GPU6_Util(%),GPU6_Mem(MB),GPU7_Util(%),GPU7_Mem(MB)
[2025-06-27 09:12:06],5.1,11.5,0,74426,0,80596,0,80596,0,80596,0,80596,0,80596,0,80596,0,80116
[2025-06-27 09:12:08],4.8,11.5,0,74426,0,80596,0,80596,0,80596,0,80596,0,80596,0,80596,0,80116
[2025-06-27 09:12:11],0.8,11.5,0,74426,0,80596,0,80596,0,80596,0,80596,0,80596,0,80596,0,80116
[2025-06-27 09:12:13],1.2,11.5,0,74426,0,80596,0,80596,0,80596,0,80596,0,80596,0,80596,0,80116
[2025-06-27 09:12:16],1.4,11.5,0,74426,0,80596,0,80596,0,80596,0,80596,0,80596,0,80596,0,80116
[2025-06-27 09:12:18],1.2,11.5,0,74426,0,80596,0,80596,0,80596,0,80596,0,80596,0,80596,0,80116
[2025-06-27 09:12:22],1.7,11.5,89,74426,86,80596,84,80596,87,80596,88,80596,88,80596,88,80596,88,80116
[2025-06-27 09:12:24],4.4,11.5,88,74426,86,80596,86,80596,86,80596,86,80596,86,80596,86,80596,87,80116
[2025-06-27 09:12:27],4.6,11.5,88,74426,85,80596,86,80596,85,80596,86,80596,86,80596,87,80596,88,80116
[2025-06-27 09:12:30],5.1,11.5,88,74426,85,80596,87,80596,87,80596,87,80596,87,80596,88,80596,88,80116
[2025-06-27 09:12:33],4.3,11.5,86,74426,82,80596,82,80596,82,80596,82,80596,83,80596,82,80596,82,80116
[2025-06-27 09:12:36],5.1,11.5,86,74426,81,80596,82,80596,82,80596,82,80596,82,80596,83,80596,82,80116
[2025-06-27 09:12:39],4.5,11.5,86,74426,81,80596,83,80596,83,80596,84,80596,83,80596,82,80596,83,80116
[2025-06-27 09:12:42],4.8,11.5,78,74426,82,80596,82,80596,82,80596,83,80596,81,80596,83,80596,82,80116
[2025-06-27 09:12:45],4.5,11.5,86,74426,75,80596,82,80596,82,80596,82,80596,83,80596,82,80596,82,80116
[2025-06-27 09:12:49],4.6,11.5,86,74426,81,80596,83,80596,83,80596,83,80596,82,80596,82,80596,82,80116
[2025-06-27 09:12:52],4.8,11.5,86,74426,82,80596,81,80596,82,80596,82,80596,82,80596,83,80596,82,80116
[2025-06-27 09:12:56],4.6,11.5,86,74426,81,80596,82,80596,82,80596,82,80596,82,80596,82,80596,82,80116
[2025-06-27 09:12:59],4.8,11.5,86,74426,72,80596,81,80596,81,80596,83,80596,82,80596,82,80596,83,80116
[2025-06-27 09:13:03],4.5,11.5,86,74426,81,80596,82,80596,83,80596,83,80596,83,80596,82,80596,83,80116
[2025-06-27 09:13:06],4.6,11.5,85,74426,79,80596,81,80596,81,80596,82,80596,74,80596,82,80596,82,80116
[2025-06-27 09:13:10],16.0,11.5,86,74426,81,80596,82,80596,82,80596,82,80596,82,80596,83,80596,82,80116
[2025-06-27 09:13:13],5.0,11.5,85,74426,82,80596,82,80596,81,80596,82,80596,82,80596,82,80596,82,80116
[2025-06-27 09:13:17],4.7,11.5,84,74426,82,80596,82,80596,82,80596,81,80596,81,80596,83,80596,81,80116
[2025-06-27 09:13:20],4.5,11.5,81,74426,81,80596,81,80596,82,80596,82,80596,83,80596,82,80596,83,80116
[2025-06-27 09:13:24],4.5,11.5,85,74426,81,80596,81,80596,83,80596,83,80596,83,80596,82,80596,83,80116
[2025-06-27 09:13:27],4.7,11.5,86,74426,81,80596,82,80596,82,80596,83,80596,82,80596,83,80596,82,80116
[2025-06-27 09:13:31],4.8,11.5,85,74426,81,80596,82,80596,82,80596,82,80596,82,80596,82,80596,82,80116
[2025-06-27 09:13:34],4.6,11.5,86,74426,80,80596,83,80596,81,80596,82,80596,82,80596,83,80596,82,80116
[2025-06-27 09:13:38],4.7,11.5,85,74426,81,80596,81,80596,82,80596,82,80596,82,80596,82,80596,82,80116
[2025-06-27 09:13:41],4.4,11.5,77,74426,82,80596,81,80596,82,80596,83,80596,82,80596,84,80596,83,80116
[2025-06-27 09:13:45],4.6,11.5,85,74426,82,80596,81,80596,81,80596,82,80596,83,80596,83,80596,82,80116
[2025-06-27 09:13:48],4.7,11.5,86,74426,81,80596,81,80596,82,80596,83,80596,83,80596,82,80596,83,80116
[2025-06-27 09:13:51],4.9,11.5,87,74426,83,80596,83,80596,83,80596,84,80596,82,80596,82,80596,83,80116
[2025-06-27 09:13:55],4.5,11.5,86,74426,81,80596,82,80596,82,80596,82,80596,82,80596,83,80596,82,80116
[2025-06-27 09:13:59],4.5,11.5,85,74426,81,80596,81,80596,81,80596,82,80596,82,80596,82,80596,82,80116
[2025-06-27 09:14:02],4.8,11.5,85,74426,81,80596,82,80596,82,80596,83,80596,84,80596,83,80596,84,80116
[2025-06-27 09:14:05],4.5,11.5,85,74426,81,80596,83,80596,81,80596,82,80596,79,80596,83,80596,82,80116
[2025-06-27 09:14:09],4.4,11.5,86,74426,82,80596,81,80596,82,80596,82,80596,82,80596,82,80596,83,80116
[2025-06-27 09:14:12],4.4,11.5,86,74426,81,80596,82,80596,81,80596,82,80596,83,80596,82,80596,83,80116
[2025-06-27 09:14:16],4.5,11.5,85,74426,81,80596,82,80596,81,80596,82,80596,82,80596,82,80596,82,80116
[2025-06-27 09:14:19],5.0,11.5,86,74426,82,80596,83,80596,83,80596,84,80596,84,80596,84,80596,84,80116
[2025-06-27 09:14:23],4.6,11.5,87,74426,83,80596,84,80596,83,80596,84,80596,84,80596,85,80596,84,80116
[2025-06-27 09:14:26],4.7,11.5,87,74426,83,80596,85,80596,84,80596,84,80596,84,80596,85,80596,85,80116
[2025-06-27 09:14:27],4.6,11.5,88,74426,84,80596,84,80596,84,80596,84,80596,83,80596,85,80596,85,80116
[2025-06-27 09:14:30],4.3,11.5,0,74426,0,80596,0,80596,0,80596,0,80596,0,80596,0,80596,0,80116
[2025-06-27 09:14:33],1.1,11.5,0,74426,0,80596,0,80596,0,80596,0,80596,0,80596,0,80596,0,80116
[2025-06-27 09:14:36],1.1,11.5,0,74426,0,80596,0,80596,0,80596,0,80596,0,80596,0,80596,0,80116
[2025-06-27 09:14:39],1.3,11.5,0,74426,0,80596,0,80596,0,80596,0,80596,0,80596,0,80596,0,80116
[2025-06-27 09:14:41],1.0,11.5,0,74426,0,80596,0,80596,0,80596,0,80596,0,80596,0,80596,0,80116
[2025-06-27 09:14:44],1.1,11.5,0,74426,0,80596,0,80596,0,80596,0,80596,0,80596,0,80596,0,80116
[2025-06-27 09:14:46],4.8,11.5,88,74426,85,80596,87,80596,86,80596,86,80596,86,80596,87,80596,86,80116
[2025-06-27 09:14:50],4.4,11.5,89,74426,85,80596,86,80596,87,80596,86,80596,87,80596,86,80596,87,80116
[2025-06-27 09:14:53],4.6,11.5,86,74426,83,80596,82,80596,83,80596,82,80596,82,80596,82,80596,82,80116
[2025-06-27 09:14:56],4.6,11.5,84,74426,80,80596,81,80596,81,80596,72,80596,82,80596,75,80596,82,80116
[2025-06-27 09:14:58],5.0,11.5,86,74426,81,80596,81,80596,83,80596,81,80596,80,80596,80,80596,71,80116
[2025-06-27 09:15:02],4.8,11.5,85,74426,81,80596,81,80596,82,80596,82,80596,82,80596,82,80596,83,80116
[2025-06-27 09:15:04],4.5,11.5,86,74426,81,80596,82,80596,83,80596,83,80596,81,80596,83,80596,82,80116
[2025-06-27 09:15:07],4.8,11.5,76,74426,80,80596,79,80596,83,80596,81,80596,81,80596,82,80596,82,80116
[2025-06-27 09:15:10],21.7,11.5,85,74426,82,80596,82,80596,81,80596,82,80596,82,80596,81,80596,82,80116
[2025-06-27 09:15:14],4.6,11.5,86,74426,81,80596,81,80596,83,80596,83,80596,83,80596,82,80596,79,80116
[2025-06-27 09:15:17],4.9,11.5,86,74426,81,80596,82,80596,83,80596,83,80596,83,80596,82,80596,83,80116
[2025-06-27 09:15:21],4.7,11.5,80,74426,81,80596,81,80596,82,80596,81,80596,83,80596,82,80596,82,80116
[2025-06-27 09:15:24],4.4,11.5,86,74426,82,80596,81,80596,82,80596,82,80596,82,80596,82,80596,82,80116
[2025-06-27 09:15:27],4.9,11.5,86,74426,82,80596,81,80596,82,80596,83,80596,82,80596,82,80596,82,80116
[2025-06-27 09:15:30],4.6,11.5,85,74426,82,80596,82,80596,81,80596,82,80596,82,80596,82,80596,82,80116
[2025-06-27 09:15:34],4.5,11.5,86,74426,81,80596,82,80596,81,80596,82,80596,81,80596,83,80596,82,80116
[2025-06-27 09:15:37],5.9,11.5,86,74426,81,80596,83,80596,83,80596,83,80596,82,80596,82,80596,83,80116
[2025-06-27 09:15:40],4.8,11.5,85,74426,82,80596,81,80596,81,80596,82,80596,82,80596,82,80596,82,80116
[2025-06-27 09:15:42],4.8,11.5,85,74426,81,80596,82,80596,82,80596,82,80596,81,80596,82,80596,82,80116
[2025-06-27 09:15:45],4.4,11.5,85,74426,78,80596,81,80596,82,80596,82,80596,83,80596,82,80596,82,80116
[2025-06-27 09:15:48],4.7,11.5,85,74426,81,80596,81,80596,82,80596,82,80596,82,80596,82,80596,82,80116
[2025-06-27 09:15:52],4.4,11.5,85,74426,81,80596,81,80596,82,80596,82,80596,82,80596,83,80596,82,80116
[2025-06-27 09:15:55],4.9,11.5,77,74426,81,80596,81,80596,82,80596,78,80596,79,80596,82,80596,83,80116
[2025-06-27 09:15:59],4.4,11.5,84,74426,80,80596,82,80596,82,80596,82,80596,82,80596,83,80596,82,80116
[2025-06-27 09:16:02],4.7,11.5,86,74426,81,80596,82,80596,83,80596,83,80596,82,80596,82,80596,82,80116
